WBodyID	WaterBodyName	DataSource	StationID	StationName	Actual_StationID	Actual_Latitude	Actual_Longitude	DEP_WBID	SampleDate	ActivityDepth	DepthUnits	Parameter	Characteristic	Sample_Fraction	Result_Value	Result_Unit	QACode	Result_Comment	Original_Result_Value	Original_Result_Unit
1002667	Okeechobee, Lake	WIN_21FLSFWM	="17766"		="17766"	26.8641	-80.6324	3238	7/8/2016 5:17:00 PM	0.5	m	TP_ugl	Phosphorus as P	Total	301	ug/l	""		0.301	mg/L
1002667	Okeechobee, Lake	WIN_21FLSFWM	="17766"		="17766"	26.8641	-80.6324	3238	7/13/2016 11:14:00 AM	0.5	m	TKN_ugl	Nitrogen, Kjeldahl	Total	1070	ug/l	""		1.07	mg/L
1002667	Okeechobee, Lake	WIN_21FLSFWM	="17766"		="17766"	26.8641	-80.6324	3238	7/13/2016 11:14:00 AM	0.5	m	NOx_ugl	Nitrogen, Nitrite (NO2) + Nitrate (NO3) as N	Dissolved	15	ug/l	""		0.015	mg/L
1002667	Okeechobee, Lake	WIN_21FLSFWM	="17766"		="17766"	26.8641	-80.6324	3238	7/13/2016 11:14:00 AM	0.5	m	TP_ugl	Phosphorus as P	Total	139	ug/l	""		0.139	mg/L
1002667	Okeechobee, Lake	WIN_21FLSFWM	="17766"		="17766"	26.8641	-80.6324	3238	7/13/2016 11:14:00 AM	0.5	m	TN_ugl	Nitrogen		1085	ug/l	""	Water Institute Calculated		
1002667	Okeechobee, Lake	WIN_21FLSFWM	="17766"		="17766"	26.8641	-80.6324	3238	7/13/2016 1:00:00 PM	0.5	m	TP_ugl	Phosphorus as P	Total	157	ug/l	""		0.157	mg/L
1002667	Okeechobee, Lake	WIN_21FLSFWM	="17766"		="17766"	26.8641	-80.6324	3238	7/18/2016 10:34:00 AM	0.5	m	Alk_CaCO3_mgl	Alkalinity, Total (total hydroxide+carbonate+bicarbonate)		84	mg/l CaCO3	""		84	mg/L
1002667	Okeechobee, Lake	WIN_21FLSFWM	="17766"		="17766"	26.8641	-80.6324	3238	7/18/2016 10:34:00 AM	0.5	m	NH3_N_ugl	Nitrogen, ammonia as N	Dissolved	94	ug/l	""		0.094	mg/L
1002667	Okeechobee, Lake	WIN_21FLSFWM	="17766"		="17766"	26.8641	-80.6324	3238	7/18/2016 10:34:00 AM	0.5	m	TKN_ugl	Nitrogen, Kjeldahl	Total	1070	ug/l	""		1.07	mg/L
1002667	Okeechobee, Lake	WIN_21FLSFWM	="17766"		="17766"	26.8641	-80.6324	3238	7/18/2016 10:34:00 AM	0.5	m	NOx_ugl	Nitrogen, Nitrite (NO2) + Nitrate (NO3) as N	Dissolved	159	ug/l	""		0.159	mg/L
